Sample,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
P91_FF,1.287,1.297,1.114,1.238,1.296,1.107,0.649,0.445,0.619,0.7240000000000001,0.665,0.7979999999999999
P91_HAZ_T,0.528,0.522,0.603,0.375,0.743,1.051,0.857,0.467,0.41,0.36700000000000005,0.342,0.457
P91_OT,0.562,0.473,0.37799999999999995,0.326,0.297,0.259,0.27699999999999997,0.39399999999999996,1.135,1.284,1.327,1.26
P91_T,0.564,0.426,0.46,0.677,1.104,0.632,0.493,0.541,0.46399999999999997,0.467,0.738,0.8140000000000001
P91_N_T,0.627,0.8190000000000001,0.8220000000000001,0.602,0.998,1.216,1.068,1.124,1.212,1.072,0.52,0.47600000000000003
P91_AR,0.562,0.594,0.594,0.48200000000000004,0.5539999999999999,0.532,0.718,0.721,0.47200000000000003,0.623,0.613,0.638
P91_HAZ,0.318,0.307,0.311,0.34600000000000003,0.35200000000000004,0.35600000000000004,0.349,0.289,0.29100000000000004,0.361,0.33,0.303
P91_N,0.720,0.674,0.6759999999999999,0.691,0.597,0.496,0.527,0.499,0.541,0.586,0.569,0.612
