,Sample,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,Condition,Pipe short name
0,P91_FF,0.678,0.6809999999999999,0.6679999999999999,0.647,0.633,0.6779999999999999,0.6990000000000001,0.718,0.7190000000000001,0.659,0.626,0.6409999999999999,Fully Ferritic,P91_FF
1,P91_HAZ_T,1.080,1.107,1.093,1.0959999999999999,1.113,1.111,1.093,1.1079999999999999,1.0979999999999999,1.092,1.088,1.094,HAZ + Tempered,P91_HAZ_T
2,P91_OT,1.459,1.5419999999999998,1.751,2.07,2.452,2.542,2.3369999999999997,2.0669999999999997,1.8330000000000002,1.6780000000000002,1.5759999999999998,1.455,Over-Tempered,P91_OT
3,P91_T,1.074,1.1,1.101,1.112,1.112,1.091,1.071,1.131,1.2790000000000001,1.296,1.155,1.051,Tempered,P91_T
4,P91_N_T,1.079,1.091,1.102,1.139,1.117,1.1079999999999999,1.1059999999999999,1.123,1.1,1.1179999999999999,1.1179999999999999,1.117,Normalized + Tempered,P91_N_T
5,P91_AR,1.244,1.228,1.22,1.2229999999999999,1.2429999999999999,1.21,1.186,1.222,1.2590000000000001,1.273,1.266,1.27,As received,P91_AR
6,P91_HAZ,4.707,4.763,4.769,4.7989999999999995,4.836,4.734,4.7139999999999995,4.7219999999999995,4.692,4.705,4.7139999999999995,4.711,HAZ,P91_HAZ
7,P91_N,4.405,4.46,4.476,4.466,4.525,4.559,4.546,4.525,4.493,4.479,4.5089999999999995,4.499,Normalized,P91_N
