Sample,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3
P91_FF,0.510,0.616,0.634,0.657,0.585,0.47200000000000003,,,,0.696,0.618,0.602
P91_HAZ_T,1.086,0.975,0.9570000000000001,0.705,0.682,0.69,,,,0.649,0.635,0.66
P91_OT,0.958,0.8029999999999999,0.733,,,,0.654,0.7020000000000001,0.611,0.7829999999999999,0.7659999999999999,0.706
P91_T,0.973,1.04,1.032,,,,0.813,0.904,0.915,0.77,0.8909999999999999,0.852
P91_N_T,0.922,1.0590000000000002,1.1,1.012,1.071,1.06,,,,0.9570000000000001,1.064,1.0270000000000001
P91_AR,0.821,0.74,0.721,0.975,0.7190000000000001,0.515,,,,0.9440000000000001,0.643,0.5479999999999999
P91_HAZ,0.402,0.369,0.34299999999999997,0.37,0.314,0.243,,,,0.461,0.452,0.33799999999999997
P91_N,0.115,0.115,0.11599999999999999,0.10800000000000001,0.109,0.106,,,,0.122,0.091,0.10300000000000001
