Sample,A1,A2,A3,B1,B2,B3,C1,C2,C3
P91_FF,0.611,0.648,0.736,0.589,0.616,0.6679999999999999,0.57,0.604,0.631
P91_HAZ_T,0.918,0.95,0.922,0.907,0.9209999999999999,0.875,0.889,0.8909999999999999,0.856
P91_OT,0.937,0.9570000000000001,0.9740000000000001,0.9420000000000001,0.9570000000000001,0.955,0.9440000000000001,0.973,0.971
P91_T,0.961,1.003,0.9890000000000001,0.946,0.968,0.963,0.946,0.9640000000000001,0.972
P91_N_T,0.990,0.9890000000000001,1.016,0.9570000000000001,0.977,0.972,0.9590000000000001,0.97,0.976
P91_AR,1.066,1.035,1.12,1.092,1.129,1.082,1.0590000000000002,1.055,1.114
P91_HAZ,1.639,1.6780000000000002,1.5719999999999998,1.463,1.5219999999999998,1.645,1.3969999999999998,1.4569999999999999,1.568
P91_N,2.081,2.0709999999999997,2.114,1.959,1.942,1.96,1.949,1.922,1.891
