Sample,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
B1,1.092,1.093,1.113,1.1059999999999999,1.092,1.0759999999999998,1.085,1.121,1.114,1.1,1.107,1.1
B2,1.077,1.105,1.11,1.1159999999999999,1.113,1.111,1.109,1.131,1.129,1.093,1.079,1.09
B3,1.074,1.087,1.062,1.058,1.062,1.099,1.1,1.079,1.08,1.102,1.0859999999999999,1.064
B4,4.494,4.48,4.4719999999999995,4.516,4.512,4.52,4.548,4.534,4.531000000000001,4.548,4.492,4.446000000000001
B5,1.424,1.433,1.4580000000000002,1.453,1.454,1.413,1.411,1.425,1.4369999999999998,1.412,1.442,1.421
B6,4.652,4.649,4.625,4.635,4.669,4.675,4.658,4.758,4.82,4.802,4.761,4.699
B7,0.651,0.621,0.653,0.7340000000000001,0.762,0.782,0.7070000000000001,0.62,0.607,0.647,0.6629999999999999,0.6709999999999999
B8,1.622,1.8030000000000002,2.1069999999999998,2.416,2.63,2.5860000000000003,2.398,2.184,1.973,1.784,1.642,1.5930000000000002
