,median_CF_g,median_CF,median_perm_g,median_perm,median_pMBN_g,median_MBN,TEP_mean_uV_C,TEP_error_uV_C,Absorption_avg_100,Absorption_std_100,A,A std,B,B std,p,p std,backscatter_avg,Absorption_avg_50,Absorption_std_50
P_FF,0.542,0.616,150.0,133.6,0.616,0.49,13.021550533234231,0.12068424972914675,0.0007184,0.0001779,1.4e-07,1.1599999999999999e-07,0.000607,6.17e-05,0.0595,0.0069700000000000005,0.0359,0.001802,0.0007865
P_HAZ_T,0.784,0.907,133.6,119.1,0.69,0.382,13.142320582722714,0.10767692144806852,0.000802,0.0002274,2.01e-13,1.12e-07,0.000315,5.9499999999999996e-05,0.0749,0.00672,0.0225,0.001935,0.0003591
P_OT,0.889,0.957,123.4,116.5,0.733,0.43,13.169976669746475,0.10322920979476884,0.0006765,0.0001968,1.44e-08,1.04e-07,0.000324,5.520000000000003e-05,0.0765,0.00624,0.0197,0.0016899999999999999,0.0007019999999999999
P_T,0.904,0.964,120.8,112.8,0.904,0.309,13.150209904339551,0.10162919445510013,0.0010942999999999999,0.0002541,7.71e-08,1.2699999999999999e-07,0.000279,6.74e-05,0.0855,0.00761,0.0279,0.002338,0.0004969999999999999
P_N_T,0.912,0.976,120.2,112.4,1.0590000000000002,0.301,13.117952538749568,0.11024329762767786,0.0009835,0.00047389999999999997,6.88e-08,1.1e-07,0.00027400000000000005,5.85e-05,0.0785,0.0066,0.023,0.00238,0.0007942
P_AR,1.06,1.082,117.8,107.0,0.721,0.311,13.138591625301911,0.1312757847359219,0.0009161,0.00028900000000000003,1.1100000000000002e-08,1.59e-07,0.000299,8.47e-05,0.0843,0.00957,0.0272,0.002499,0.0006450000000000001
P_HAZ,1.267,1.568,100.7,86.9,0.369,0.401,11.682789125316765,0.18219912928179047,0.0006181,7.020000000000001e-05,2.26e-10,1.24e-07,0.000278,6.6e-05,0.0909,0.00745,0.023,0.001627,0.00043739999999999995
P_N,1.6569999999999998,1.959,82.1,76.9,0.109,0.415,10.821493591026787,0.10150701634770096,0.0007228,0.0002129,6.43e-08,9.86e-08,0.00024900000000000004,5.24e-05,0.0827,0.00592,0.0195,0.002016,0.0006738
