Sample,median_CF_g,std_CF_g,median_CF,std_CF,median_perm_g,std_perm_g,median_perm,std_perm,median_pMBN_g,std_pMBN_g,median_MBN,std_MBN
P_FF,0.542,0.013395095051121195,0.616,0.05223231074454093,150.0,6.176091575005766,133.6,4.6083774646987,0.616,0.06548064054141715,0.49,0.04443856111853438
P_HAZ_T,0.784,0.027720222118260772,0.907,0.029813407817864186,133.6,3.299972943612026,119.1,2.9826881451852394,0.69,0.13885906267044396,0.382,0.0308209112686269
P_OT,0.889,0.03075711299845939,0.9570000000000001,0.012552034553353136,123.4,3.2271172452028623,116.5,1.8252201432782214,0.733,0.06535562059117134,0.43,0.04825212800636731
P_T,0.904,0.03691084819244492,0.9640000000000001,0.019584523773341325,120.8,1.9635518109501746,112.8,1.0039208847599221,0.904,0.09568017782472728,0.309,0.019061929148361197
P_N_T,0.912,0.04226426217435784,0.976,0.018761663039293712,120.2,3.5246073742839954,112.4,1.1807231440338342,1.0590000000000002,0.04412239470252849,0.301,0.008518886580500325
P_AR,1.06,0.035030598869315054,1.082,0.03408288217188886,117.8,2.824257171616737,107.0,2.4083189157584566,0.721,0.16599822503353978,0.311,0.07025959517593103
P_HAZ,1.2670000000000001,0.05306717441130631,1.568,0.09667877592463471,100.7,5.263876219777859,86.9,3.1976553910638974,0.369,0.07112514122506694,0.401,0.020694633534877053
P_N,1.6569999999999998,0.08947425806980938,1.959,0.0761952379464378,82.1,2.365677190875494,76.9,1.0350983390135315,0.109,0.00943776607950359,0.415,0.008552359741197583
