,Sample,A1,A2,A3,B1,B2,B3,C1,C2,C3,Condition,Pipe short name
0,P91_FF,0.507,0.473,0.528,0.461,0.49,0.5720000000000001,0.446,0.45899999999999996,0.5329999999999999,Fully Ferritic,P91_FF
1,P91_HAZ_T,0.413,0.43200000000000005,0.43200000000000005,0.363,0.402,0.382,0.37,0.36700000000000005,0.354,HAZ + Tempered,P91_HAZ_T
2,P91_OT,0.463,0.384,0.376,0.46399999999999997,0.446,0.43,0.447,0.40399999999999997,0.318,Over-Tempered,P91_OT
3,P91_T,0.348,0.345,0.33399999999999996,0.318,0.28800000000000003,0.305,0.309,0.308,0.295,Tempered,P91_T
4,P91_N_T,0.314,0.3,0.301,0.314,0.305,0.301,0.28800000000000003,0.29,0.293,Normalized + Tempered,P91_N_T
5,P91_AR,0.237,0.366,0.45299999999999996,0.252,0.332,0.32799999999999996,0.23600000000000002,0.267,0.311,As received,P91_AR
6,P91_HAZ,0.446,0.449,0.42700000000000005,0.39399999999999996,0.39899999999999997,0.395,0.401,0.41600000000000004,0.38799999999999996,HAZ,P91_HAZ
7,P91_N,0.430,0.415,0.40399999999999997,0.426,0.418,0.40299999999999997,0.41700000000000004,0.402,0.41100000000000003,Normalized,P91_N
